Time, Vehicle speed (MPH), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Calculated load value (%), Engine coolant temperature (F), Engine RPM (RPM), Intake manifold absolute pressure (PSI), Intake air temperature (F), Mass air flow rate (lb/min), Absolute throttle position (%), Input voltage read by the scan tool (V), Commanded throttle actuator control (%), Accelerator pedal position E (%), Accelerator pedal position D (%), Absolute throttle position B (%), Relative throttle position (%), Fuel/Air commanded equivalence ratio, Absolute load value (%), Control module voltage (V), Catalyst temperature (Bank 1 Sensor 1) (F), Oxygen sensor 1 current wide range (mA), Oxygen sensor 1 lambda wide range (current probe), Barometric pressure (PSI), Evap system vapor pressure (PSI), Distance traveled since DTCs cleared (miles), Number of warm-ups since DTCs cleared, Fuel level input (%), Commanded evaporative purge (%), EGR error (%), Commanded EGR (%), Time since engine start (sec), Distance traveled while MIL is activated (miles), Short term fuel trim (Bank 1  Sensor 2) (%), Oxygen sensor voltage (Bank 1  Sensor 2) (V), Ignition timing advance for #1 cylinder, Long term fuel % trim - Bank 1 (%), Short term fuel % trim - Bank 1 (%), Longitude, Latitude, Altitude (m), Bearing (deg), GPS Speed (m/s), GPS Accuracy (m)
09/06/2013 09:16:23.4901 AM,60.89438,35.76463,38.95304,1.702642,63.13726,176,2985,8.847302,71.6,2.56662,25.4902,14.2,20.39216,17.64706,35.29412,39.60784,17.64706,1.012478,42.7451,14.225,1260.14,0.01953125,0.9915855,11.89309,1.114869,2924.794,51,92.15686,100,-10.15625,48.23529,1436,0,10.15625,0.64,45,7.03125,10.15625,-110.7956,43.27721,1772,157,28.83555,5
09/06/2013 09:16:24.3854 AM,60.27301,157.8883,38.95409,0.3817445,14.5098,176,2957,3.770981,71.6,0.58212,15.68627,14.3,5.490196,9.803922,19.60784,32.15686,5.098039,0.9812155,10.58823,14.225,1259.42,-0.05078125,1.025837,11.89309,1.124514,2924.794,51,92.15686,90.98039,0,0,1436,0,17.1875,0.12,12,7.03125,17.1875,-110.7955,43.27697,1773.6,158,28.8981,10
09/06/2013 09:16:25.3867 AM,59.03026,167.4081,38.9557,0.3526129,13.33333,176,2902,3.045793,71.6,0.541107,18.03922,14.2,10.58823,14.90196,30.58824,35.29412,10.98039,1.998817,15.68627,14.3,1252.76,-1.28125,1.998817,11.89309,1.182384,2924.794,51,92.15686,0,0,0,1440,0,0,0.085,-15,7.03125,0,-110.7953,43.27673,1774.4,157,28.6479,10
09/06/2013 09:16:26.3887 AM,59.03026,33.80601,38.95546,1.746147,75.29412,176,2891,10.0076,71.6,2.911923,28.62745,14.2,25.88235,18.82353,37.64706,43.52941,21.96078,0.902922,54.5098,14.3,1257.98,0.3164063,0.9008785,11.89309,1.186227,2924.794,51,92.15686,0,-34.375,62.7451,1440,0,6.25,0.165,37.5,7.03125,6.25,-110.7952,43.2765,1776.7,159,27.95985,10
09/06/2013 09:16:27.3915 AM,59.03026,31.60876,38.95499,1.867528,75.29412,176,2904,10.73279,71.6,3.114342,30.98039,14.3,28.62745,19.21569,38.43137,44.70588,26.66667,0.902922,54.5098,14.3,1268.42,0.1796875,0.980148,11.89309,1.182384,2924.794,51,92.15686,88.62745,0,76.07843,1440,0,10.9375,0.805,31,7.03125,10.9375,-110.795,43.27628,1777.9,156,28.3977,10
09/06/2013 09:16:28.3995 AM,59.65163,26.92774,38.95376,2.215249,76.86275,176,2925,10.73279,71.6,3.303531,31.76471,14.3,29.80392,19.21569,38.82353,45.09804,27.84314,1.00342,54.90196,14.3,1277.06,-0.01953125,1.002504,11.89309,1.141882,2924.794,51,92.15686,100,-1.5625,78.82353,1440,0,11.71875,0.78,28.5,7.03125,11.71875,-110.7949,43.27607,1776.4,152,27.33435,10
09/06/2013 09:16:29.3951 AM,60.27301,70.88915,38.95388,0.850243,76.07843,177.8,2929,5.076321,71.6,1.279341,16.07843,14.2,5.490196,9.803922,20,32.15686,4.705883,1.007751,12.54902,14.275,1286.24,-0.08984375,1.063779,11.89309,1.151527,2924.794,51,92.15686,65.09804,38.28125,39.21569,1444,0,11.71875,0.75,55,7.03125,11.71875,-110.7947,43.27587,1775.2,150,26.95905,15
09/06/2013 09:16:30.3983 AM,59.03026,158.8974,38.9557,0.3714991,13.72549,177.8,2882,2.465641,71.6,0.556983,15.68627,14.3,5.490196,9.803922,19.60784,32.15686,5.098039,1.998817,9.803922,14.275,1281.38,-0.703125,1.938946,11.89309,1.184306,2924.794,51,92.15686,0,0,0,1444,0,0,0.745,-15,7.03125,0,-110.7945,43.27565,1774.4,151,27.1467,15
09/06/2013 09:16:31.4001 AM,57.78752,40.65923,38.9565,1.421265,50.98039,177.8,2838,7.106849,71.6,2.202795,23.52941,14.2,17.64706,17.2549,34.5098,38.82353,16.47059,0.98759,39.60784,14.275,1278.5,-0.6015625,1.853241,11.89309,1.186227,2924.794,51,92.15686,0,0,0,1444,0,0,0.09,16,7.03125,0,-110.7944,43.27544,1775.2,151,27.3969,15
09/06/2013 09:16:32.4315 AM,57.78752,29.8249,38.95607,1.937559,69.41177,177.8,2843,10.15264,71.6,2.958228,28.62745,14.3,25.4902,18.43137,37.2549,42.7451,23.52941,0.985638,52.15686,14.275,1282.82,-0.01953125,1.000553,11.89309,1.138002,2924.794,51,92.15686,81.96078,-2.34375,72.94118,1444,0,7.8125,0.165,34.5,7.03125,7.8125,-110.7942,43.27523,1775.1,150,26.45865,15
09/06/2013 09:16:33.4324 AM,58.40889,30.71712,38.95541,1.90151,71.37255,177.8,2858,10.15264,71.6,2.911923,27.84314,14.3,23.92157,18.43137,36.86274,41.96078,21.96078,0.9821,50.98039,14.275,1287.86,0.0234375,0.9859735,11.89309,1.128357,2924.794,51,92.15686,100,0,73.33334,1448,0,11.71875,0.235,34,7.03125,11.71875,-110.794,43.27502,1775,149,26.33355,15
09/06/2013 09:16:34.4351 AM,58.40889,52.85293,38.9556,1.105121,49.01961,177.8,2863,6.816774,71.6,1.697409,21.17647,14.3,14.11765,16.07843,32.15686,36.86274,12.94118,0.9791415,30.19608,14.275,1286.24,0.02734375,0.9767625,11.89309,1.116791,2924.794,51,92.15686,94.5098,2.34375,43.92157,1448,0,11.71875,0.28,51,7.03125,11.71875,-110.7939,43.27483,1773.6,150,27.20925,15
09/06/2013 09:16:35.4363 AM,57.78752,153.735,38.95696,0.3758906,14.11765,177.8,2817,2.320604,71.6,0.576828,15.68627,14.3,5.490196,9.803922,19.60784,32.15686,5.098039,0.9812155,9.803922,14.275,1281.56,0.05078125,0.966362,11.89309,1.182384,2924.794,51,92.15686,52.54902,0,0,1448,0,14.0625,0.25,6.5,7.03125,14.0625,-110.7937,43.27462,1773.6,150,27.522,15
09/06/2013 09:16:36.4380 AM,56.54478,22.83441,38.9576,2.476297,21.96078,177.8,2777,2.900755,71.6,1.86543,17.64706,14.3,11.37255,15.68627,32.15686,36.07843,12.54902,0.902922,16.07843,14.325,1270.94,-1.292969,1.998817,11.89309,1.186227,2924.794,51,92.15686,0,0,0,1451,0,0,0.055,8,7.03125,0,-110.7935,43.2744,1774.2,150,27.1467,15
09/06/2013 09:16:37.4437 AM,56.54478,68.86387,38.95817,0.8211095,42.35294,177.8,2765,5.076321,71.6,1.369305,19.60784,14.3,11.76471,15.29412,30.58824,35.68628,10.98039,0.902922,25.09804,14.325,1276.52,0.21875,0.895663,11.89309,1.186227,2924.794,51,92.15686,0,0,0,1451,0,0,0.13,32,7.03125,7.8125,-110.7933,43.27418,1774.3,150,26.70885,15
09/06/2013 09:16:38.4444 AM,55.92341,165.8609,38.95945,0.3371706,15.29412,177.8,2757,3.625943,71.6,0.562275,19.21569,14.3,11.37255,15.29412,31.37255,35.68628,11.76471,0.902922,22.7451,14.325,1273.28,0.2148438,0.9014275,11.89309,1.145726,2924.794,51,92.15686,41.56863,0,0,1451,0,7.8125,0.165,30,7.03125,9.375,-110.7932,43.27397,1774.1,149,26.3961,15
09/06/2013 09:16:39.4472 AM,55.92341,47.82284,38.95998,1.169387,55.68628,177.8,2736,8.412189,71.6,1.950102,23.92157,14.3,17.2549,16.86275,33.33333,38.43137,15.29412,0.902922,36.47059,14.325,1270.76,0.1523438,0.9223505,11.89309,1.130279,2924.794,51,92.15686,97.25491,0.78125,52.15686,1451,0,8.59375,0.865,50.5,7.03125,8.59375,-110.793,43.27378,1773.6,146,25.83315,15
09/06/2013 09:16:40.4497 AM,55.30204,68.51324,38.96106,0.807173,24.70588,177.8,2719,5.656472,71.6,1.20393,21.56863,14.3,9.411765,14.5098,29.01961,34.5098,9.411765,1.010129,18.03922,14.3,1266.08,-0.00390625,0.992775,11.89309,1.126436,2924.794,51,92.15686,95.68627,-9.375,6.27451,1455,0,10.9375,0.84,36,7.03125,10.9375,-110.7928,43.27361,1772.7,142,25.20765,15
