Time, Vehicle speed (MPH), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Calculated load value (%), Engine coolant temperature (F), Engine RPM (RPM), Intake manifold absolute pressure (PSI), Intake air temperature (F), Mass air flow rate (lb/min), Absolute throttle position (%), Input voltage read by the scan tool (V), Commanded throttle actuator control (%), Accelerator pedal position E (%), Accelerator pedal position D (%), Absolute throttle position B (%), Relative throttle position (%), Fuel/Air commanded equivalence ratio, Absolute load value (%), Control module voltage (V), Catalyst temperature (Bank 1 Sensor 1) (F), Oxygen sensor 1 current wide range (mA), Oxygen sensor 1 lambda wide range (current probe), Barometric pressure (PSI), Evap system vapor pressure (PSI), Distance traveled since DTCs cleared (miles), Number of warm-ups since DTCs cleared, Fuel level input (%), Commanded evaporative purge (%), EGR error (%), Commanded EGR (%), Time since engine start (sec), Distance traveled while MIL is activated (miles), Short term fuel trim (Bank 1  Sensor 2) (%), Oxygen sensor voltage (Bank 1  Sensor 2) (V), Ignition timing advance for #1 cylinder, Long term fuel % trim - Bank 1 (%), Short term fuel % trim - Bank 1 (%), Longitude, Latitude, Altitude (m), Bearing (deg), GPS Speed (m/s), GPS Accuracy (m)
08/28/2013 06:43:39.4585 PM,27.9617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-123.0412,43.80391,171.2,322,12.51,10
08/28/2013 06:43:40.5010 PM,29.82582,15.73816,37.88926,1.895128,90.19608,177.8,1926,13.48851,105.8,2.836512,33.33333,14.3,27.45098,19.60784,39.60784,44.31372,26.27451,0.97295,73.72549,14.25,653.18,-0.125,1.080859,14.2137,1.180462,1300.53,35,92.15686,8.627451,0,0,109,0,7.8125,0.145,8.5,9.375,10.9375,-123.0413,43.80401,171.2,335,12.32235,10
08/28/2013 06:43:41.4863 PM,31.68993,16.11947,37.88471,1.965942,94.5098,177.8,2049,13.77859,105.8,2.987334,38.43137,14.3,40.39216,22.35294,42.35294,47.84314,32.54902,0.999424,77.25491,14.25,665.96,-0.0234375,0.981063,14.2137,1.180462,1300.53,35,92.15686,11.37255,0,0,109,0,10.15625,0.68,9.5,9.375,10.15625,-123.0413,43.80412,171,341,12.3849,10
08/28/2013 06:43:42.3977 PM,32.93267,15.12797,37.88119,2.176939,98.43137,177.8,2122,13.92362,105.8,3.32073,41.56863,14.3,44.70588,22.7451,45.88235,52.94118,41.17647,0.988749,78.43137,14.25,680,-0.0078125,0.992836,14.2137,1.180462,1300.53,35,92.15686,5.882353,0,0,109,0,10.15625,0.68,9.5,9.375,10.15625,-123.0414,43.80423,170.7,348,12.82275,10
08/28/2013 06:43:43.4529 PM,35.41816,17.70687,37.8755,2.00025,83.52941,177.8,2265,14.06866,102.2,3.048192,51.37255,14.3,60.39216,25.88235,52.15686,61.56863,56.07843,0.990396,70.19608,14.25,691.7,-0.0078125,0.9925615,14.2137,1.180462,1300.53,35,92.15686,12.94118,0,0,109,0,10.15625,0.68,10.5,9.375,10.15625,-123.0414,43.80436,170.3,357,14.19885,10
08/28/2013 06:43:44.4475 PM,37.28227,17.10786,37.86958,2.179248,93.33334,177.8,2409,14.2137,102.2,3.303531,55.68628,14.3,65.09804,27.05882,55.29412,64.31373,60.78431,0.992653,79.21568,14.25,707.36,0.0234375,0.984784,14.2137,1.184306,1300.53,35,92.15686,17.2549,0,0,113,0,6.25,0.685,10,9.375,6.25,-123.0413,43.80452,169.3,10,16.1379,10
08/28/2013 06:43:45.4484 PM,39.76776,14.21758,37.8635,2.797083,88.62745,177.8,2533,14.06866,102.2,4.252122,50.58823,14.2,58.43137,25.09804,50.19608,61.96078,56.86274,0.9912195,76.47059,14.25,724.1,0,0.9926225,14.2137,1.186227,1300.53,35,92.15686,17.2549,0,0,113,0,3.90625,0.68,9.5,9.375,3.90625,-123.0413,43.80467,168.5,13,17.07615,10
08/28/2013 06:43:46.3901 PM,41.0105,14.84863,37.858,2.761905,99.21568,177.8,2638,13.92362,102.2,4.230954,45.88235,14.3,50.58823,23.13725,46.66667,56.07843,46.66667,0.9865225,77.64706,14.25,744.8,-0.00390625,0.995703,14.2137,1.178504,1300.53,35,92.15686,18.03922,0,0,113,0,7.8125,0.675,10.5,9.375,7.8125,-123.0412,43.80484,168.2,15,17.7642,10
08/28/2013 06:43:47.4175 PM,42.87461,20.5672,37.85166,2.084611,85.09804,179.6,2747,8.412189,100.4,3.183138,17.64706,14.2,6.666667,11.37255,21.96078,47.45098,30.58824,0.995642,72.54902,14.325,771.98,-0.00390625,0.991616,14.2137,1.174661,1300.53,35,92.15686,12.15686,0,0,117,0,7.8125,0.675,21.5,9.375,7.8125,-123.0411,43.805,168,14,18.3897,10
08/28/2013 06:43:48.4956 PM,42.87461,69.73951,37.85475,0.6147822,12.94118,179.6,2742,3.335868,100.4,0.927423,17.64706,14.2,8.235294,13.72549,22.7451,32.15686,5.098039,1.002138,10.98039,14.325,795.74,0.1328125,0.8950835,14.2137,1.180462,1300.53,35,92.15686,0,0,0,117,0,8.59375,0.675,22.5,9.375,8.59375,-123.041,43.80518,167.8,13,18.6399,10
