Time, Vehicle speed (MPH), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Calculated load value (%), Engine coolant temperature (F), Engine RPM (RPM), Intake manifold absolute pressure (PSI), Intake air temperature (F), Mass air flow rate (lb/min), Absolute throttle position (%), Longitude, Latitude, Altitude (m), Bearing (deg), GPS Speed (m/s), GPS Accuracy (m)
08/28/2013 09:58:58.1262 AM,0,0,0,0,0,0,0,0,0,0,0,-122.1801,39.24037,-11.10001,332,0.93825,10
08/28/2013 09:58:59.2017 AM,0,0,0.01256868,0.1344896,20,0,695,3.770981,100.4,0.203742,12.54902,-122.1801,39.24035,-11,318,0.1251,15
08/28/2013 09:59:01.1243 AM,0,0,0.01244781,0.1365458,19.21569,179.6,698,3.770981,100.4,0.207711,12.54902,-122.1801,39.24033,-11,318,0,15
08/28/2013 09:59:02.2039 AM,0,0,0.0123436,0.2691383,30.58824,179.6,771,5.366396,100.4,0.403515,14.11765,-122.1801,39.24033,-11,318,0,15
08/28/2013 09:59:04.0942 AM,0,0,0.01214713,0.2121001,27.84314,179.6,760,5.076321,98.6,0.322812,13.72549,-122.1801,39.24033,-11,318,0,15
08/28/2013 09:59:05.0968 AM,0,0,0.01206072,0.2081048,27.05882,179.6,744,4.931283,98.6,0.313551,13.72549,-122.1801,39.24033,-11,318,0,15
08/28/2013 09:59:06.0992 AM,0,0,0.01197603,0.2107517,27.05882,179.6,745,4.931283,98.6,0.318843,13.33333,-122.1801,39.24031,-10.79999,328,1.81395,15
08/28/2013 09:59:07.1079 AM,0,0,0.01188885,0.2186891,28.62745,179.6,746,4.931283,98.6,0.33075,13.33333,-122.1801,39.24034,-10.79999,330,2.1267,15
08/28/2013 09:59:08.1403 AM,0,0,0.01179118,0.2171057,28.23529,179.6,744,5.076321,98.6,0.328104,13.33333,-122.1801,39.24037,-11,335,2.06415,15
08/28/2013 09:59:09.0958 AM,0,0,0.01171058,0.222687,28.62745,179.6,748,4.931283,100.4,0.337365,13.33333,-122.1801,39.24039,-11.10001,339,1.8765,15
08/28/2013 09:59:10.0940 AM,0,0,0.01161956,0.2234592,29.01961,179.6,746,5.076321,100.4,0.337365,13.33333,-122.1801,39.2404,-11.20001,342,1.7514,15
08/28/2013 09:59:11.1963 AM,0,0,0.01152383,0.2211235,28.62745,179.6,746,5.076321,100.4,0.334719,13.72549,-122.1801,39.24041,-11.29999,353,1.6263,15
08/28/2013 09:59:12.1062 AM,0,0,0.01144237,0.2168133,29.01961,179.6,747,5.076321,100.4,0.328104,13.72549,-122.1801,39.24043,-11.29999,357,1.81395,15
08/28/2013 09:59:13.0937 AM,0,0,0.01138238,0.1396658,18.43137,179.6,764,4.061057,100.4,0.214326,12.54902,-122.1801,39.24043,-11.39999,4,1.6263,20
08/28/2013 09:59:14.2215 AM,0,0,0.01133043,0.1338623,18.82353,179.6,687,3.770981,100.4,0.202419,12.54902,-122.1801,39.24041,-11.5,43,0.68805,20
08/28/2013 09:59:16.0890 AM,0,0,0.01123545,0.1399938,18.03922,179.6,691,3.916019,100.4,0.210357,12.54902,-122.18,39.24042,-11.5,72,1.93905,20
08/28/2013 09:59:17.0926 AM,0,0,0.01118712,0.1370933,18.03922,179.6,693,3.770981,100.4,0.206388,12.54902,-122.18,39.24043,-11.5,80,1.7514,20
08/28/2013 09:59:18.0940 AM,0,0,0.0111357,0.133891,18.43137,179.6,693,3.770981,100.4,0.202419,12.54902,-122.1799,39.24042,-11.5,94,1.8765,20
08/28/2013 09:59:19.0951 AM,0,0,0.01108974,0.1293965,18.82353,179.6,692,3.770981,100.4,0.195804,12.54902,-122.1799,39.24041,-11.5,106,1.5012,20
08/28/2013 09:59:20.1184 AM,0,0,0.01104202,0.1310044,18.82353,179.6,690,3.770981,100.4,0.19845,12.54902,-122.1799,39.24041,-11.5,111,1.31355,20
